Player_Name,Team,Matches,Tournaments,Goals,Own_Goals,Yellow_Cards,Red_Cards,Times_Suspended,Times_Captain,Times_Starter,Times_Sub,Penalties_Scored,Missed_Penalties,Goals_Per_Match,Cards_Per_Match
HERNANDEZ,Mexico,4,1,4,0,1,0,0,0,4,0,0,0,1.0,0.25
Valeriy PORKUYAN,Soviet Union,10,2,4,0,0,0,0,0,3,7,0,0,0.4,0.0
Robert BALLAMAN,Switzerland,4,1,4,0,0,0,0,0,4,0,0,0,1.0,0.0
Florin RADUCIOIU,Romania,9,2,4,0,2,0,0,0,7,2,0,0,0.444,0.222
Joe JORDAN,Scotland,9,3,4,0,1,0,0,0,7,2,0,0,0.444,0.111
Florian ALBERT,Hungary,8,2,4,0,0,0,0,0,7,1,0,0,0.5,0.0
Ralf EDSTROM,Sweden,9,2,4,0,0,0,0,0,7,2,0,0,0.444,0.0
WALTER,West Germany,6,1,4,0,0,0,0,0,5,1,0,0,0.667,0.0
TOMASSON,Denmark,7,2,4,0,1,0,0,2,6,1,1,1,0.571,0.143
Kurt HAMRIN,Sweden,6,1,4,0,0,0,0,0,5,1,0,0,0.667,0.0
Andre ABEGGLEN,Switzerland,5,2,4,0,0,0,0,1,5,0,0,0,0.8,0.0
Bobby CHARLTON,England,18,4,4,0,0,0,0,0,14,4,0,0,0.222,0.0
VIERI,Italy,4,1,4,0,1,0,0,0,4,0,0,0,1.0,0.25
Michel PLATINI,France,17,3,4,0,1,0,0,11,13,4,1,0,0.235,0.059
Jorge VALDANO,Argentina,12,2,4,0,1,0,0,0,8,4,0,0,0.333,0.083
Hans KRANKL,Austria,11,2,4,0,0,0,0,0,10,1,1,0,0.364,0.0
Marcelo SALAS,Chile,4,1,4,0,1,0,0,0,4,0,0,0,1.0,0.25
DONOVAN,USA,12,3,4,0,0,0,0,0,12,0,1,0,0.333,0.0
Alcides GHIGGIA,Uruguay,4,1,4,0,0,0,0,0,4,0,0,0,1.0,0.0
Angelo SCHIAVIO,Italy,5,1,4,0,0,0,0,0,4,1,0,0,0.8,0.0
Leopoldo LUQUE,Argentina,7,1,4,0,0,0,0,0,5,2,0,0,0.571,0.0
Igor CHISLENKO,Soviet Union,10,2,4,0,0,1,1,0,7,3,0,0,0.4,0.1
ZICO,Brazil,17,3,4,0,1,0,0,0,8,9,1,0,0.235,0.059
CRESPO,Argentina,13,3,4,0,1,0,0,0,4,9,0,0,0.308,0.077
Estanislao BASORA,Spain,6,1,4,0,0,0,0,0,6,0,0,0,0.667,0.0
CHICO,Brazil,6,1,4,0,0,0,0,0,4,2,0,0,0.667,0.0
Martin DAHLIN,Sweden,7,1,4,0,2,0,0,0,5,2,0,0,0.571,0.286
Daniel BERTONI,Argentina,12,2,4,0,1,0,0,0,10,2,0,0,0.333,0.083
ZARRA,Spain,6,1,4,0,0,0,0,1,6,0,0,0,0.667,0.0
Gino COLAUSSI,Italy,4,1,4,0,0,0,0,0,3,1,0,0,1.0,0.0
Agne SIMONSSON,Sweden,6,1,4,0,0,0,0,0,5,1,0,0,0.667,0.0
Claudio CANIGGIA,Argentina,11,2,4,0,3,0,0,0,8,3,0,0,0.364,0.273
Alessandro ALTOBELLI,Italy,11,2,4,0,0,0,0,0,4,7,1,0,0.364,0.0
Leopold ANOUL,Belgium,2,1,3,0,0,0,0,0,2,0,0,0,1.5,0.0
Thierry HENRY,France,7,1,3,0,0,0,0,0,3,4,0,0,0.429,0.0
Leonel SANCHEZ,Chile,9,2,3,0,0,0,0,3,9,0,1,0,0.333,0.0
Ivica BEK,Yugoslavia,3,1,3,0,0,0,0,0,3,0,0,0,1.0,0.0
Enzo SCIFO,Belgium,14,3,3,0,0,0,0,1,13,1,0,0,0.214,0.0
Nat LOFTHOUSE,England,3,1,3,0,0,0,0,0,2,1,0,0,1.0,0.0
Alfred KOERNER,Austria,8,2,3,0,0,0,0,0,7,1,0,0,0.375,0.0
Raimundo ORSI,Italy,5,1,3,0,0,0,0,0,5,0,0,0,0.6,0.0
HONDA,Japan,7,2,3,0,1,0,0,0,7,0,0,0,0.429,0.143
Hector SOCORRO,Cuba,3,1,3,0,0,0,0,0,3,0,0,0,1.0,0.0
Carlos PEUCELLE,Argentina,5,1,3,0,0,0,0,0,4,1,0,0,0.6,0.0
HAGI,Romania,9,2,3,0,2,0,0,5,8,1,0,0,0.333,0.222
AMARILDO,Brazil,6,1,3,0,0,0,0,0,4,2,0,0,0.5,0.0
C. SAMPAIO,Brazil,7,1,3,0,3,0,0,0,6,1,0,0,0.429,0.429
Pierre LITTBARSKI,West Germany,21,3,3,0,1,0,0,0,10,11,0,0,0.143,0.048
JULIO SALINAS,Spain,14,3,3,0,1,0,0,0,11,3,0,0,0.214,0.071
NEYMAR JR,Brazil,7,1,3,0,1,0,0,0,5,2,1,0,0.429,0.143
MICHEL,Spain,9,2,3,0,1,0,0,0,9,0,1,0,0.333,0.111
BALTAZAR,Brazil,9,2,3,0,0,0,0,0,4,5,0,0,0.333,0.0
Karl-Erik PALMER,Sweden,5,1,3,0,0,0,0,0,5,0,0,0,0.6,0.0
BERGKAMP,Netherlands,5,1,3,0,1,0,0,0,5,0,0,0,0.6,0.2
BALLACK,Germany,14,2,3,0,4,0,0,5,11,3,0,0,0.214,0.286
SCHRRLE,Germany,7,1,3,0,0,0,0,0,0,7,0,0,0.429,0.0
Gabriel BATISTUTA,Argentina,5,1,3,0,0,0,0,1,5,0,2,0,0.6,0.0
STOITCHKOV,Bulgaria,7,1,3,0,2,0,0,0,7,0,3,0,0.429,0.286
E. VALENCIA,Ecuador,3,1,3,0,1,0,0,0,3,0,0,0,1.0,0.333
Zoltan CZIBOR,Hungary,5,1,3,0,0,0,0,0,5,0,0,0,0.6,0.0
Laszlo KISS,Hungary,3,1,3,0,0,0,0,0,2,1,0,0,1.0,0.0
Juan HOHBERG,Uruguay,5,1,3,0,0,0,0,0,2,3,0,0,0.6,0.0
Gustav WETTERSTROM,Sweden,3,1,3,0,0,0,0,0,2,1,0,0,1.0,0.0
JOSE AUGUSTO,Portugal,6,1,3,0,0,0,0,0,6,0,0,0,0.5,0.0
GERRARD,England,12,3,3,0,3,0,0,6,10,2,0,0,0.25,0.25
A. GYAN,Ghana,8,2,3,0,0,0,0,3,8,0,2,1,0.375,0.0
Dusan BAJEVIC,Yugoslavia,6,1,3,0,1,0,0,0,3,3,0,0,0.5,0.167
Luis ARTIME,Argentina,4,1,3,0,1,0,0,0,4,0,0,0,0.75,0.25
JOSE TORRES,Portugal,6,1,3,0,0,0,0,0,6,0,0,0,0.5,0.0
CUEVAS,Paraguay,7,2,3,0,0,0,0,0,0,7,0,0,0.429,0.0
Robert PROSINECKI,Yugoslavia,12,2,3,0,1,0,0,0,5,7,0,0,0.25,0.083
Harry ANDERSSON,Sweden,3,1,3,0,0,0,0,0,3,0,0,0,1.0,0.0
Bernard GENGHINI,France,14,2,3,0,1,0,0,0,6,8,0,0,0.214,0.071
FALCAO,Brazil,10,2,3,0,1,0,0,0,5,5,0,0,0.3,0.1
Juan ANSELMO,Uruguay,4,1,3,0,0,0,0,0,2,2,0,0,0.75,0.0
PERACIO,Brazil,5,1,3,0,0,0,0,0,4,1,0,0,0.6,0.0
Wolfgang OVERATH,West Germany,19,3,3,0,3,0,0,0,19,0,0,0,0.158,0.158
Theodor WAGNER,Austria,5,1,3,0,0,0,0,0,4,1,0,0,0.6,0.0
Jackie FATTON,Switzerland,7,2,3,0,0,0,0,0,7,0,0,0,0.429,0.0
SUAREZ,Uruguay,7,1,3,0,0,1,1,0,6,1,0,0,0.429,0.143
Jose Luis CAMINERO,Spain,5,1,3,0,3,0,0,0,3,2,0,0,0.6,0.6
OSCAR,Brazil,24,4,3,0,2,0,0,0,19,5,0,0,0.125,0.083
Roger HUNT,England,10,2,3,0,0,0,0,0,6,4,0,0,0.3,0.0
DIDI,Brazil,15,3,3,0,0,0,0,0,15,0,0,0,0.2,0.0
TEVEZ,Argentina,10,2,3,0,0,0,0,0,6,4,0,0,0.3,0.0
Kazimierz DEYNA,Poland,13,2,3,0,0,0,0,13,13,0,1,0,0.231,0.0
Roger PIANTONI,France,6,1,3,0,0,0,0,0,5,1,0,0,0.5,0.0
HENRY,France,13,3,3,0,0,1,1,0,9,4,0,0,0.231,0.077
Gerry ARMSTRONG,Northern Ireland,8,2,3,0,0,0,0,0,5,3,0,0,0.375,0.0
L. FABIANO,Brazil,5,1,3,0,1,0,0,0,5,0,0,0,0.6,0.2
BATISTUTA,Argentina,7,2,3,0,2,0,0,1,7,0,2,0,0.429,0.286
RODRIGUEZ,Costa Rica,12,3,3,0,1,0,0,0,9,3,0,0,0.25,0.083
Oliver BIERHOFF,Germany,5,1,3,0,0,0,0,0,5,0,0,0,0.6,0.0
Paul BREITNER,West Germany,14,2,3,0,0,0,0,0,14,0,1,0,0.214,0.0
Eduard MALOFEYEV,Soviet Union,6,1,3,0,0,0,0,0,5,1,0,0,0.5,0.0
Alain GIRESSE,France,14,2,3,0,1,0,0,0,12,2,0,0,0.214,0.071
SHAQIRI,Switzerland,7,2,3,0,0,0,0,0,4,3,0,0,0.429,0.0
ROMEU,Brazil,5,1,3,0,0,0,0,0,4,1,0,0,0.6,0.0
Milan GALIC,Yugoslavia,6,1,3,0,0,0,0,6,6,0,0,0,0.5,0.0
Jean NICOLAS,France,3,2,3,0,0,0,0,0,3,0,0,0,1.0,0.0
Andreas BREHME,West Germany,19,3,3,0,4,0,0,0,14,5,1,0,0.158,0.211
Stig SUNDQVIST,Sweden,5,1,3,0,0,0,0,0,5,0,0,0,0.6,0.0
VITTEK,Slovakia,4,1,3,0,1,0,0,0,4,0,1,0,0.75,0.25
WILMOTS,Belgium,8,2,3,0,0,0,0,4,5,3,0,0,0.375,0.0
